mainCategory,title,content,subCategory,date,source
Music,K-pop in California,South Korean singer and actress IU arrives at the third annual KCON K-pop convention at Los Angeles Memorial Sports Arena in Los Angeles on Sunday. KCON is a two-day K-pop festival of concerts and workshops.[REUTERS/NEWS1],K-Pop Concerts,2014-08-11,Korea JoongAng Daily
Music,G.O.D reunites for concert,"Korean singers IU and Roy Kim were spotted visiting G.o.d’s 15th anniversary solo concert among the 14,000 fans gathered at Jamsil Sports Complex on Saturday, according to local media. It was K-pop pioneer G.o.d’s reunion as an integrated group o",K-Pop Concert,2014-07-13,Korea JoongAng Daily
Music,Intimate concert for young vocalist,"Shortly after dominating the local music charts with a newly released tribute album “A Flower Bookmark,” singer IU proved her presence as a musician in her small-theater concert “Just a step closer… Just That Much,” last weekend. Held in Sogang Un",Concert Event,2014-05-26,Korea JoongAng Daily
Music,2014.5.21 TICKET,"MUSIC

IU’S SMALL THEATER CONCERT
Mary Hall at Sogang University
Tomorrow to June 1: After dominating Korean music outlets with her cover album “Flower Bookmark,” IU is holding a solo concert that will differ from her previ",K-Pop Ballad.,2014-05-20,Korea JoongAng Daily
Music,IU dominating music charts,"Singer IU’s remake album “Flower Bookmark,” released Friday, has taken over Korean airwaves, with most of its tracks dominating the online music charts. As of noon yesterday, the lead single “My Old Story,” originally sung by veteran singer Jo",K-Pop Ballad,2014-05-18,Korea JoongAng Daily
Music,IU pushes ahead with duet CD,"Singer IU, whose real name is Lee Ji-eun, has just finished recording a duet with singer-actor Kim Chang-wan for her up-and-coming tribute album, according to local reports yesterday. “IU sang a duet with Kim recently. We did a remake of the song",K-Pop Ballad,2014-05-08,Korea JoongAng Daily
Music,IU set to release classic tribute album,"Singer IU will release a tribute album for the first time in May, in which she will cover classic pop songs in her own style. She is also slated to hold a small concert after the album’s release. “We are planning on coming up with a new style of p",Cover Songs,2014-04-10,Korea JoongAng Daily
Promotion,Loen acquires large stake in Starship,"Loen Entertainment, the management home of singer IU, said Wednesday that it bought a 70 percent stake in Starship Entertainment for 15 billion won ($14.2 million). Starship is the agency of many idols, including Sistar and Boyfriend. “Since S",Strategic Investment,2013-12-19,Korea JoongAng Daily
Music,IU album spotlights ‘Modern Times’,"Singer IU is releasing a repackage album, according to her agency, Loen Tree. The new album is titled “Modern Times - Epilogue” and will be released on Friday. It includes two new songs and a DVD with recordings of the live performance of her seco",K-Pop ballad,2013-12-15,Korea JoongAng Daily
Music,2013.11.20 Ticket,"MUSIC IU Kyung Hee University, Grand Peace Palace Saturday and Sunday: With the success of her third full-length album, “Modern Times,” Korea’s so-called “little sister” IU will present her second solo concert. The work of the singer, wh",K-Pop Pop,2013-11-19,Korea JoongAng Daily
Promotion,IU: I didn’t eat for awhile,"Singer IU said on the KBS entertainment show “Happy Together3” on Thursday that she didn’t eat any food while she was trying to lose weight to look better on camera. “When I was doing it hard core, I did not eat but worked out,” she said. “I even","I would categorize this article as a ""Celebrity Interview"" or a ""Behind-the-Scenes"".

The specific details that support this classification are:

* IU is mentioned as a singer, indicating a focus on her public persona.
* The context of the interview is related to her appearance and weight loss efforts, which suggests a personal or humanizing aspect.
* The article provides quotes from IU, giving insight into her thoughts and feelings about her weight loss journey.

These details suggest that the article is more focused on showcasing IU as a person and sharing her story, rather than promoting her music or other products.",2013-11-01,Korea JoongAng Daily
Music,IU could be joining ‘Hidden Singer’,"Singer IU will take part in the entertainment show “Hidden Singer 2” on cable channel JTBC. She will be the youngest singer on the show, which features a professional singer squaring off against talented amateurs from behind a screen. The audienc",K-Pop/Indie,2013-10-30,Korea JoongAng Daily
Controversy,IU’s agency denies plagiarism charges,"Singer IU has found herself caught up in a plagiarism controversy after her song “Pink Shoes” was accused of being too similar to Nekta’s 2009 song “Here’s Us.” But IU’s agency, Loen Entertainment, strongly denied the accusation yesterday, issuing",Placation Denial,2013-10-27,Korea JoongAng Daily
Social,Secret’s out: IU reveals short hairstyle on radio program,"Singer IU has cut her hair short after keeping it long for about three years. She showed off her new hairstyle for the first time to fans on the radio program “Jang Ki-ha’s Great Radio” on SBS yesterday, which streamed live video of the show from",Radio Appearance.,2013-10-24,Korea JoongAng Daily
Promotion,IU chooses a pretty man,"Singer IU, who is in the middle of promoting her new album “Modern Times,” has been cast in a new drama. Wasting little time since her acting debut on the KBS drama “You’re the Best, Lee Soon-shin,” which ended in August, IU will play the lead in",Television Drama,2013-10-22,Korea JoongAng Daily
Promotion,Skin clinics claim shots of vitamins are panacea,"Beauty-conscious Korea has turned its hopeful eyes toward a new cosmetic strategy: vitamin injections. The main claim for the injections is that they lighten skin, and celebrities like Beyonce and Korean singer IU are frequently featured on poste",Celebrity Endorsement,2013-10-15,Korea JoongAng Daily
Music,IU announces solo concerts,"Singer IU has announced several solo concerts coming up soon to help promote “Modern Times,” her new album released last week. She will start Nov. 23 at Kyung Hee University with two shows in two nights before moving down to the southern port city",K-Pop Ballad,2013-10-15,Korea JoongAng Daily
Music,IU releases first album in 17 months,"Singer IU released her new song “Pink Shoes” just after midnight this morning - the leadoff single from her third full-length album, “Modern Times.” Along with the single, IU released the entire 13-song album, her first record in Korea in nearly",K-Pop/Pop,2013-10-07,Korea JoongAng Daily
Controversy,Mystery man apologizes to IU,"Someone online posted a letter of apology Thursday to the singer IU, claiming he was the one who started the recent rumors that the young star was pregnant and about to get married. Just minutes later, the apology was taken down, but not before becom",False Pregnancy Rumors,2013-09-27,Korea JoongAng Daily
Controversy,Never spread IU rumors,"Singer IU is neither pregnant nor getting married - and now the man who started rumors to the contrary has been caught. “The perpetrator was caught by the prosecutors’ office and he confessed,” said music producer Jo Young-cheol, from the singer’",Spurious Rumor Spread,2013-09-24,Korea JoongAng Daily
Music,IU releases teaser video,"Two weeks before the release of her new album, “Modern Times,” singer IU has revealed the names of the songs on her record and released a teaser video. On the YouTube channel for her agency, Loen Entertainment, she released a one-minute teaser for",K-Pop/Pop,2013-09-23,Korea JoongAng Daily
Promotion,IU teases comeback,"Teaser images of IU were released to the public on Sept. 17 prior to the singer’s comeback, which is scheduled for Oct. 7. The 20-year-old highly-versatile performer, who just finished shooting the drama series “You’re the Best, Lee Soon-shin,” w",Promotional Teaser,2013-09-17,Korea JoongAng Daily
Promotion,IU readies Korean album,"After a year of concentrating on acting in Korea and singing in Japan, performer IU is at last slated to release new music in Korea, according to local media reports. IU had been playing the lead role in the KBS drama “You’re the Best Lee Soon-shi","""Music Promotion Update""",2013-09-10,Korea JoongAng Daily
Music,IU thanks fans with special single,"Singer IU has released a song she wrote to mark the end of her first acting experience. With last weekend’s closure of the 50-episode drama “You’re the Best, Lee Soon-shin,” in which IU played the leading role of wannabe actress Lee Soon-shin, IU",Single Release,2013-08-26,Korea JoongAng Daily
Acting,Uee considers drama lead,"Another K-pop star is looking to make the jump into acting via the small screen after singer IU made a splash with her acting debut in the KBS weekend drama “You’re the Best, Lee Soon-shin.” Uee, of the popular girl group After School, appears to",TV Casting News.,2013-08-22,Korea JoongAng Daily
Music,IU to make singing comeback,"Singer IU, who has recently been foregoing singing for acting with her role on the KBS drama “You’re the Best, Lee Soon-shin,” is heading back into the recording studio. According to IU’s management company, Loen Entertainment, the singer could re",K-Pop,2013-08-14,Korea JoongAng Daily
Controversy,Celebs spied on movie date,"Singer IU and actor Lee Hyun-woo, of the KBS drama “Master of Study,” were seen together at a movie theater in Sinsa-dong, southern Seoul, late at night on Thursday. And this being the smartphone age, photos of the two celebrities were posted to",Celebrity Spying,2013-08-09,Korea JoongAng Daily
Controversy,IU apologizes for infamous tweet,"Singer IU is apologizing for the controversial photo she tweeted last November - while continuing to avoid discussing what the photo actually was about. While on the SBS talk show “Hwashin - Controller of the Heart” on Tuesday, IU took responsibil",Photo Scandal.,2013-07-24,Korea JoongAng Daily
Controversy,IU’s agency fights back against rumor,"Singer IU’s agency has said that it will ask police for an investigation into who first spread stories about IU’s rumored marriage with a member of a local boy band. On Monday, IU was said to be preparing for an October wedding with a member of bo",Rumor Spreading Controversy,2013-05-28,Korea JoongAng Daily
Controversy,Seo In-young: I play well with others,"Seo In-young denied rumors that she had uncomfortable relationships with other female celebrities. Earlier, it was rumored that she disciplined singer IU in a bathroom and even hit her. “I never called her to the bathroom, and I swear I never dra",False Celebrity,2013-05-24,Korea JoongAng Daily
Acting,IU to star in leading role in upcoming drama,"Singer and actress IU is set to appear on the upcoming weekend drama “The Best Lee Soon Shin,” which will be aired starting March 9 after the hit drama ""My Daughter Seoyoung” wraps up. The highly anticipated drama revolves around a girl who is nei",TV Drama,2013-03-05,Korea JoongAng Daily
Music,IU is ready to take Japan by storm,"IU will release a mini album in Japan on March 20, according to her agency, the first time she has done so there. The star hopes to build on her success in the country after she released Japanese versions of two singles, “Good Day” and “You & I",K-Pop,2013-02-12,Korea JoongAng Daily
Music,"[NEW RELEASES] YUI, “Orange Garden Pop” and “Green Garden Pop”","Japanese pop artist Yui, who gets compared to Korea’s singer-songwriter IU, released her first and probably last “best of” album in two CDs: “Orange Garden Pop” and “Green Garden Pop.” The 26-year-old Japanese singer and songwriter announced that she",Promotional piece.,2013-01-27,Korea JoongAng Daily
Controversy,Eunhyuk makes fun of the IU scandal,"Never the one to miss out on a joke, Super Junior’s Eunhyuk made everyone laugh by mentioning the IU scandal while on SBS’ “Might Heart” on Jan. 15. On the hit talk show that back in 2009 Eunkyuk e was about “235th” on portal Web site search ranking","Lighthearted Teasing.

This article is categorized under lighthearted teasing because it discusses Eunhyuk making a joke about the IU scandal, which was mentioned in a 2009 interview. The tone of the article suggests that the article is poking fun at the controversy rather than exploring any serious issues or disputes.",2013-01-17,Korea JoongAng Daily
Social,IU breaks her silence after photo leak,"IU, who has kept a low profile after an intimate picture of her and Super Junior’s Eunhyuk went viral, spoke directly to fans for the first time in over a month on Tuesday. The Hallyu star wished everyone a merry Christmas through her official fan",Fan Club Post,2012-12-26,Korea JoongAng Daily
Social,Celebrities work to get out the vote,"Election Day in Korea had the potential for a lot of firsts for the Korean democracy. It was also a meaningful day for young Hallyu stars who were able to vote for president for the first time. Singer IU, 19, had paparazzi going wild when she turn",Paparazzi coverage.,2012-12-19,Korea JoongAng Daily
Social,IU made donation to her alma mater,"Despite her efforts to keep it on the down low, news of IU’s deed of good will has leaked. The young entertainer donated 10 million won ($9,200) to her alma mater, Dongduk Girls’ High School in southern Seoul. Although she asked the school to",Philanthropy,2012-12-04,Korea JoongAng Daily
Music,Melon Awards announces nominees,"The top 10 candidates for the 2012 Melon Music Awards have been announced. The nominees, as picked by the leading Korean music download Web site, are: 2NE1, Beast, Busker Busker, Big Bang, IU, Infinite, T-ara, Huh Gak and Psy. Artists were pic",K-Pop,2012-11-29,Korea JoongAng Daily
Social,IU supporters rally against haters,"Just days after some 500 netizens joined forces in an online club called “We Demand the Truth from IU,” more than 2,000 fans of the K-pop starlet has allied to stand up for their idol. The newly formed club titled “We Believe in IU,” stands for trus",Online Fan Club.,2012-11-14,Korea JoongAng Daily
Controversy,Netizens stand up for the truth regarding IU,"Just a day after IU-Eunhyuk scandal broke, an online forum titled “We Demand the Truth From IU” has been formed. The online group was established on Nov. 11 and as of Nov. 12, boasted 500 members, all wanting to know if the picture accidentally uplo",Scandalous Relationship,2012-11-12,Korea JoongAng Daily
Controversy,"Intimate photo of IU, Eunhyuk spreads","The agents of IU have denied that the popular 19-year-old female singer is in a special relationship with Eunhyuk of Super Junior after a photo of the two posing intimately spread. “Regarding this case, we would like to ask you not to read to",Scandalous rumor.,2012-11-11,Korea JoongAng Daily
Promotion,IU to take on acting,"After holding a national tour and then an encore concert, IU is ready to take on some acting. Loen Entertainment announced that “as tour commitments have come to an end, IU is considering the prospect of dramas until the end of the year.” When IU",Breaking News,2012-09-27,Korea JoongAng Daily
Promotion,IU wraps up concert with a vow to be better TV host,"After wrapping up her encore concert, “Real Fantasy 2012,” over Sept. 22 to 23, IU told the audience of some 8,000 people that she would step up her role as the host of “Strongest Quiz Show” on MBC. “I’ll take some time off and really concentrate",Interview.,2012-09-24,Korea JoongAng Daily
Music,Billboard takes note of singer IU,"American music publication Billboard has selected IU as one of the top 21 musicians under 21 years old. In an annual series “21 Under 21,” the K-pop star was ranked 15th and described as Korea’s “little sister.” Her hit songs from “You and I,”",K-pop songs.,2012-09-19,Korea JoongAng Daily
Music,IU to treat fans to an encore concert,"IU will hold an encore concert on Sept. 22 and 23 to thank the fans who showed their support throughout her national tour, which took place in June and July. Loen Entertainment announced Monday that the concert will take place at the War Memor",Concert Event,2012-08-28,Korea JoongAng Daily
Promotion,‘Superstar K3’ contestant Shin Ji-soo to sign contract with Loen Entertainment,"CJ E&M said yesterday that “Superstar K3” contestant Shin Ji-soo has been recruited by Loen Entertainment, the agency behind idol singer IU. The media company said that Shin fielded offers from various agencies after making it into the Top 7, but de",Endorsement/Recruitment.,2012-08-09,Korea JoongAng Daily
Acting,IU fields requests for drama roles,"An official at IU’s agency said she has received many requests for drama appearances. “We are reviewing about 10 suggestions. We haven’t made any decisions,” said the source. IU debuted as an actress in 2011 in a television series “Dream",TV Dramas,2012-08-03,Korea JoongAng Daily
Promotion,IU’s income tops 10 billion won,"Singer IU has made about 10 billion won ($8.7 million) to date, according to an article by the JoongAng Ilbo. The paper estimated that the teenage singer made 6 billion won on record sales in the beginning of last year. With the addition of commer",Record Sales,2012-07-19,Korea JoongAng Daily
Music,IU’s agency to have a Fiesta,"Loen Entertainment, the agency behind K-pop sensation IU, is set to debut a girl group next month. The group’s name has been revealed to be Fiesta, and just like the meaning of the word, “the group will showcase amazing vocals and performances wit",K-pop Idol Song,2012-07-19,Korea JoongAng Daily
Music,IU and Gikwang head under the sea,Singers IU and Beast’s Gikwang have been cast as the Korean voices of two baby turtles in the 3-D animation flick “Sammy’s Adventures 2.” The 2010 prequel captured the hearts of more than one million viewers in Korea alone and featured Sulli f,K-Pop music.,2012-06-26,Korea JoongAng Daily
Controversy,"Ji-yeon calls IU fat, picks her nose","T-ara’s Ji-yeon has shown her playful side by making fun of her close friend and singer IU. On June 5, Ji-yeon uploaded a parody shot of IU with a double chin and added, “You should put on some weight Ji-eun. See, you look much better” (Ji-eun is IU",The type of issue categorized in this article is: Bullying/Insult.,2012-06-06,Korea JoongAng Daily
Social,"IU, now an icon for ramen too","K-pop soloist IU has become the new face of a special edition of Nongshim’s Shin Ramen, available in a disposable cup. The product was launched just in time for the International Exposition Yeosu 2012, which kicked-off on May 1. IU is already",Endorsement Ad,2012-05-16,Korea JoongAng Daily
Music,IU’s new song “Peach” to be released,"On May 3, a day ahead of the official release of IU’s new single, “Peach,” a teaser video was made available on Loen Entertainment’s official YouTube channel. Also uploaded on various online music Web sites, the video shows IU strumming along to h",K-Pop Ballad,2012-05-03,Korea JoongAng Daily
Music,IU ticket sales snapped up by “Uncle Fans”,"Sales figures for IU’s “Real Fantasy” concert coming up in June have surprised ticket sellers as the audience is comprised mostly of males. When the tickets went on sale on April 17, all 6,500 seats were sold out within half an hour. Sources from",K-pop Concerts,2012-05-02,Korea JoongAng Daily
Music,"Girls’ Generation picked as best female act by small, local survey",Girls’ Generation was picked as the nations’ favorite female act in a survey conducted by Leespiar Marketing Research Company for the first half of 2012. The girl band won 26.9 percent of votes while IU (15.3 percent) came in at second and Wonde,Specific details about IU's acting career are missing.,2012-04-18,Korea JoongAng Daily
Music,IU’s concert a sellout in half-hour,"IU’s Seoul concerts for June 2 and 3 have sold-out within 30-minutes of going on sale. All 6,500 seats for the two-day show, entitled “Real Fantasy,” have been sold, according to Loen Entertainment. “Thanks for all your support for the upcomin",K-Pop/Soul,2012-04-18,Korea JoongAng Daily
Music,IU to release new single and tour in coming months,"Singer IU has some busy months ahead of her as she is set to release a new album in May, followed by a national tour in June. From April 9 to 11, the singer was in Italy, filming a music video for the new track. The film clip to the new song had a",Music Single,2012-04-17,Korea JoongAng Daily
Music,IU to hold first solo concert tour,"Teen singer IU will hold her first solo tour since her debut four years ago. The singer’s agency announced on Friday that the star will tour six cities nationwide starting with Seoul. The concert, titled “Real Fantasy,” combines elements of fantasy a",K-Pop Pop/Pop-Rock,2012-04-08,Korea JoongAng Daily
Music,‘K-pop Collection’ to air on TV in April,"SBS’s “2012 K-pop Collection,” which took place on March 11, is set to hit the small screen on April 2. Fans will finally be able to see all the big names in K-pop that performed at the hybrid fashion and music event. Big Bang, IU, MBlaq, Tiger JK",K-pop/Pop Ballad,2012-03-28,Korea JoongAng Daily
Music,IU and KARA walk at Tokyo show,"Singer IU and girl group KARA appeared at the 14th Tokyo Girls’ Collection 2012 Spring/Summer show, themed “Sherbet Garden,” on Saturday. IU walked the catwalk and sang the Japanese version of her single “Good Day,” which will be released on M",J-Pop/Inuk Pop,2012-03-05,Korea JoongAng Daily
Promotion,IU in the clear after hosting gaffe,"Singer IU called out the wrong name when announcing the No. 1 song on Sunday’s “K-Pop Countdown” on SBS, but got off without incident thanks to the graciousness of her fellow singers. IU was hosting the show when she made the mistake of calling out",News/Entertainment,2012-02-27,Korea JoongAng Daily
Controversy,IU denies plastic surgery rumors,"A screen capture of IU from a TV show back in 2010 has recently surfaced online, generating hot debates amongst netizens about whether IU has had cosmetic surgery since then. Meanwhile the teenage star’s agency announced on Feb.20 that she has had n",Cosmetic Surgery Rumors,2012-02-21,Korea JoongAng Daily
Music,IU’s Japanese album cover revealed,"Pictures to appear on singer IU’s Japanese single “Good Day” were posted on the teenage singer’s Japanese Web site. The single will be released in Japan on March 21. In the preview, IU can be seen wearing a nude-colored dress with long wavy hair.",Single Release.,2012-02-13,Korea JoongAng Daily
Social,IU graduates from high school,"Teen singing sensation IU has graduated from high school, taking another step toward adulthood. The entertainer, often described as the “nation’s younger sister,” attended the graduation ceremony at Dongduk Girls’ High School on Thursday in Bangb",School Graduation,2012-02-10,Korea JoongAng Daily
Music,IU to make a cameo appearance on ‘Dream High 2’ tonight,"Idol singer IU will make a cameo appearance on the KBS teenage drama “Dream High 2,” which is set to air tonight. The teenage star, who played the role of Kim Pil-sook in the prequel drama about aspiring singers, will again assume her character ro",K-Pop Ballad,2012-01-29,Korea JoongAng Daily
Social,"IU debuts in Japan, looking for a boyfriend","K-pop starlet IU held her first solo concert series in Japan on Jan. 24 in front of some 4,000 delighted fans. The singer performed two separate concerts in one day at Tokyo’s Bunkamura Orchard Hall as she tries to boost her popularity among Japane",Public Concert,2012-01-25,Korea JoongAng Daily
Music,Singers select IU as biggest star of the year,"At a recent recording of the “Weekly Idol” show on the MBC network, a survey was conducted to see who K-pop singers would select as the person most likely to become the biggest star of the industry in 2012. Members of Wonder Girls, T-ara, Secret a",K-Pop,2012-01-04,Korea JoongAng Daily
Music,IU’s ‘Good Day’ named song of the year,"On Dec. 26, Gallup Korea named “Good Day” the song of the year. The research company surveyed 3,401 respondents over the age of 13 to find that singer IU’s hit song had 3.9 percent of the votes in the Gallup poll. Each respondent was asked to list th","Song: ""Good Day""",2011-12-26,Korea JoongAng Daily
Promotion,Brown Eyed Girls’ Ga-in to work on solo album,"Ga-in, a singer from the girl group Brown Eyed Girls, has signed a record deal as a solo artist with Loen Entertainment. Loen is a well-known music distributor which also has stars like singer IU under its management. On Dec. 21, Loen Entertainm",Solo Artist Deal,2011-12-22,Korea JoongAng Daily
Music,IU tops singing room rankings,"Teen singer IU’s undying popularity has even changed the nation’s most popular songs at the noraebang (Korean singing room). Kumyoung, one of the leading manufacturers of karaoke machine, released a list of the most popular songs of the year on Dec",K-Pop/Pop,2011-12-22,Korea JoongAng Daily
Music,IU most-searched on Google Korea,"Koreans searched for singer IU more than any other term on Google over the past year, according to statistics revealed by the Web site. On Friday, Google made public various lists of the most-searched keywords according to certain categories and divi",K-Pop Ballad,2011-12-19,Korea JoongAng Daily
Music,"Brown Eyed Soul overtakes IU, claiming No. 1 spot on music chart","The band Brown Eyed Soul released its new album “Soul Fever” at midnight on Dec. 15. The majority of the songs on the band’s second live album have already topped various music charts featured online. In particular, the title track “Gone” reached fir","""New Album Release""",2011-12-15,Korea JoongAng Daily
Music,IU to hold first concert in Japan,"K-pop singer IU will hold her first live concert in Japan on Jan. 24. EMI Music Japan, the agency which will orchestrate IU’s Japanese activities, confirmed on Dec. 14 that IU will take to the stage at Tokyo’s Bunkamura Orchard Hall for the IU Jap",K-Pop Concert,2011-12-14,Korea JoongAng Daily
Social,K-pop star opens up about childhood,"IU, the 18-year-old K-pop singer, spoke candidly about living in poverty leading up to her debut as a singer on a recording of the KBS show “Win Win” on Dec. 13. IU, real name Yi Ji-eun, told the production crew that for a year she had to share a ro",Childhood Memories,2011-12-13,Korea JoongAng Daily
Music,IU releases second album ‘Last Fantasy’,"IU has made a much-buzzed-about comeback with the release of her second album “Last Fantasy” on the Nov. 29. The young diva is driven to convince the public that she is no longer just an idol singer but a true diva. In the long-awaited album,",Album Release,2011-11-29,Korea JoongAng Daily
Music,IU teases fans with new music video,"IU’s fans’ anticipation grew as the singer revealed a preview of an upcoming music video titled “You and I.” On Sunday, fans were in for a surprise as a teaser of the music clip was shown on SBS’s “K-pop Countdown.” The clip featured a somewhat ma",Music Video,2011-11-28,Korea JoongAng Daily
Music,IU lands on Japanese music scene,"Teen singer IU will make a foray into the Japanese music market, according to EMI Music Japan. EMI Music Japan said in a press release yesterday that the 18-year-old girl will release her first album in Japan on Dec. 14. The first album will contain",K-Pop/Pop,2011-11-10,Korea JoongAng Daily
Music,IU to appear at Corinne Bailey Rae’s first concert in Korea,Korean singer IU will take the stage during the first concert in Korea by British R&B singer-songwriter Corinne Bailey Rae in March. Event organizers said in a press release on Monday that they suggested IU as a special guest for the concert beca,R&B Singer-Songwriter,2011-02-09,Korea JoongAng Daily
Promotion,IU takes time off for health,"Female solo singer IU, who became popular with her new album “Real,” released Dec. 9, is putting an early end to promotional activities for the album. “We are worried for IU’s health because of her busy schedule, and have decided to end the promot",Music Show Performance,2011-01-19,Korea JoongAng Daily
Social,Singer IU wins fans by going her own way,Teen singer IU had a hard time making it in Korea’s ultracompetitive music industry. She is not a picture-perfect beauty. She isn’t backed by any of the nation’s three major entertainment agencies. She was rejected more than 20 times at auditions,"""Public Appearances""",2011-01-05,Korea JoongAng Daily
Social,Aging process begets brittle bones,"How much have you saved for your later years? This is a question that Park Hyung-mu, a gynecologist at Chung-Ang University Medical Center, likes to ask. He’s not talking about financial savings but the calcium accumulated in one’s body. Osteoporos",Medical Health Topic,2008-05-16,Korea JoongAng Daily
Social,American beef back on store shelves in Korea,"At last, beef from the United States is back on the Korean market. IU Food, a meat retailer, started selling American beef at its outlet in Geumcheon District in southwestern Seoul last week. “We have chuck crest available as of now,” said Hwang By",Beef Market Update,2007-06-25,Korea JoongAng Daily
